pH,Temperature,Conductivity @25°C,Dissolved Oxygen,BOD - 5 days (Total),Ammonia-Total (as N),ortho-Phosphate (as P) - unspecified,Total Hardness (as CaCO3),True Colour,Is_Potable_By_Normes
7.34,21.025,452.316,8.161,0.434,0.295,0.106,46.81,10.486,1
4.842,-3.115,-3.882,4.525,9.985,3.936,-1.438,301.649,-3.329,0
5.049,-2.99,-3.087,18.954,8.485,-4.443,-3.971,303.65,18.889,0
7.103,5.075,400.676,7.718,2.137,0.178,0.159,99.634,6.773,1
3.763,31.29,504.743,1.528,-1.78,2.789,-0.593,-1.267,-1.227,0
7.803,9.291,138.95,6.724,1.144,0.33,0.099,223.978,12.466,1
7.741,8.461,411.888,6.714,2.544,0.026,0.134,89.312,12.751,1
4.215,-0.178,-2.396,16.729,-4.314,4.71,0.959,-4.778,-4.177,0
8.228,13.456,287.056,9.586,4.581,0.379,0.193,29.241,1.973,1
7.043,27.276,150.02,8.991,4.468,0.295,0.01,86.969,7.054,1
4.377,-2.315,500.195,16.022,-0.788,-4.089,2.035,301.486,16.781,0
4.799,31.983,-3.029,18.86,7.744,-2.372,-2.85,301.66,-1.898,0
10.462,30.164,-1.917,4.131,9.229,2.092,-0.697,-1.677,-0.568,0
10.669,-1.75,-2.915,18.633,7.689,0.934,4.49,303.915,19.564,0
6.64,20.427,451.809,6.212,3.414,0.208,0.12,239.17,12.162,1
13.01,32.824,-0.393,18.06,-3.007,1.252,-2.471,303.852,19.387,0
6.678,11.034,479.315,8.322,1.092,0.116,0.097,132.124,13.649,1
1.819,-2.238,-1.566,2.005,-4.597,-4.24,4.42,304.235,-0.576,0
10.928,34.266,-0.137,18.201,6.618,4.35,-4.913,301.042,-0.461,0
6.609,7.754,83.79,12.608,1.038,0.15,0.147,237.618,9.81,1
7.575,4.577,122.736,13.308,3.293,0.034,0.164,125.745,3.597,1
7.262,7.177,470.658,12.763,2.297,0.472,0.06,176.669,7.647,1
2.81,-3.376,500.679,14.245,-1.67,1.776,-1.019,304.152,17.253,0
7.627,4.162,298.99,12.63,2.27,0.168,0.197,40.137,2.877,1
8.133,20.53,154.162,7.987,0.637,0.38,0.05,22.056,2.347,1
8.317,6.264,79.101,8.265,1.896,0.346,0.151,5.166,12.678,1
7.413,12.996,275.279,10.331,2.057,0.26,0.096,43.446,6.724,1
8.436,20.691,50.949,6.015,0.322,0.443,0.033,283.9,6.115,1
8.362,18.101,300.029,5.025,4.511,0.172,0.051,195.613,2.753,1
8.92,-2.361,-3.81,17.621,-0.445,-2.039,-1.422,303.771,-3.692,0
